City,Avg
Amalfi-Coast,12996.0
Amsterdam,8441.0
Athens,14259.0
Barcelona,10728.0
Berlin,5878.0
Cancun,13917.0
Capri,2377.0
Dubai,16319.0
Dublin,6947.0
Dubrovnik,9076.0
Edinburgh,6232.0
Florence,12967.0
Herculaneum,278.0
Istanbul,12811.0
Krakow,9593.0
Las-Vegas,6478.0
Lisbon,12244.0
London,12166.0
Madrid,7999.0
Milan,5862.0
Mount-Vesuvius,326.0
Naples,15686.0
New-York-City,10171.0
Palermo,2508.0
Paris,12354.0
Pompeii,5158.0
Porto,7668.0
Rome,18065.0
Sorrento,10072.0
Taormina,1523.0
Venice,8586.0
