,URL,Category,RawCategory,WhatIsIt,City
124,https://www.getyourguide.com/s?q=Barcelona&activity_type=hopOnHopOff,Hop-on hop-off tours,hopOnHopOff,Category,Barcelona
125,https://www.getyourguide.com/s?q=Barcelona&themes=local_culture,Local culture,local_culture,Intrests,Barcelona
126,https://www.getyourguide.com/s?q=Barcelona&themes=outdoor,Outdoor,outdoor,Intrests,Barcelona
127,https://www.getyourguide.com/s?q=Barcelona&themes=architecture,Architecture,architecture,Intrests,Barcelona
128,https://www.getyourguide.com/s?q=Barcelona&themes=city_sightseeing,City sightseeing,city_sightseeing,Intrests,Barcelona
129,https://www.getyourguide.com/s?q=Barcelona&themes=art,Art,art,Intrests,Barcelona
130,https://www.getyourguide.com/s?q=Barcelona&themes=art_styles,Art Styles,art_styles,Intrests,Barcelona
131,https://www.getyourguide.com/s?q=Barcelona&themes=water_activities,Water activities,water_activities,Intrests,Barcelona
132,https://www.getyourguide.com/s?q=Barcelona&themes=food,Food,food,Intrests,Barcelona
133,https://www.getyourguide.com/s?q=Barcelona&themes=religion,Religion,religion,Intrests,Barcelona
134,https://www.getyourguide.com/s?q=Barcelona&themes=special_times_of_the_day,Special times of the day,special_times_of_the_day,Intrests,Barcelona
135,https://www.getyourguide.com/s?q=Barcelona&themes=activities_for_couples,Activities for couples,activities_for_couples,Intrests,Barcelona
136,https://www.getyourguide.com/s?q=Barcelona&themes=children_s_activities,Children's activities,children_s_activities,Intrests,Barcelona
137,https://www.getyourguide.com/s?q=Barcelona&themes=religious,Religious sites,religious,Intrests,Barcelona
138,https://www.getyourguide.com/s?q=Barcelona&themes=museum,Museums,museum,Intrests,Barcelona
139,https://www.getyourguide.com/s?q=Barcelona&themes=landmark,Landmarks,landmark,Intrests,Barcelona
140,https://www.getyourguide.com/s?q=Barcelona&themes=port_harbour,Ports & harbors,port_harbour,Intrests,Barcelona
141,https://www.getyourguide.com/s?q=Barcelona&themes=park_or_garden,Parks & gardens,park_or_garden,Intrests,Barcelona
142,https://www.getyourguide.com/s?q=Barcelona&themes=monument,Monuments,monument,Intrests,Barcelona
143,https://www.getyourguide.com/s?q=Barcelona&themes=plaza_square,Squares & plazas,plaza_square,Intrests,Barcelona
144,https://www.getyourguide.com/s?q=Barcelona&themes=route,Trails & routes,route,Intrests,Barcelona
145,https://www.getyourguide.com/s?q=Barcelona&themes=gallery,Galleries,gallery,Intrests,Barcelona
146,https://www.getyourguide.com/s?q=Barcelona&themes=mountain,Mountains,mountain,Intrests,Barcelona
147,https://www.getyourguide.com/s?q=Barcelona&themes=bus_coach,Bus / coach,bus_coach,Intrests,Barcelona
148,https://www.getyourguide.com/s?q=Barcelona&themes=van,Van,van,Intrests,Barcelona
149,https://www.getyourguide.com/s?q=Barcelona&themes=sailboat,Sailboat,sailboat,Intrests,Barcelona
150,https://www.getyourguide.com/s?q=Barcelona&themes=catamaran,Catamaran,catamaran,Intrests,Barcelona
151,https://www.getyourguide.com/s?q=Barcelona&themes=car,Car,car,Intrests,Barcelona
152,https://www.getyourguide.com/s?q=Barcelona&themes=electric_bicycle,Electric bike,electric_bicycle,Intrests,Barcelona
153,https://www.getyourguide.com/s?q=Barcelona&themes=bicycle,Bike,bicycle,Intrests,Barcelona
154,https://www.getyourguide.com/s?q=Barcelona&themes=segway,Segway,segway,Intrests,Barcelona
155,https://www.getyourguide.com/s?q=Barcelona&themes=on_foot,On foot,on_foot,Intrests,Barcelona
156,https://www.getyourguide.com/s?q=Barcelona&themes=scooter,Scooter,scooter,Intrests,Barcelona
