,URL,Category,RawCategory,MatchCategory,City
233,https://www.viator.com/Istanbul-tours/Cultural-Tours/d585-g4-c11,Cultural Tours,/Istanbul-tours/Cultural-Tours/d585-g4-c11,Cultural-Tours,Istanbul
234,https://www.viator.com/Istanbul-tours/Sightseeing/d585-tag21725,Sightseeing Tours,/Istanbul-tours/Sightseeing/d585-tag21725,Sightseeing,Istanbul
235,https://www.viator.com/Istanbul-tours/Water-Tours/d585-g3-c40295,Water Tours,/Istanbul-tours/Water-Tours/d585-g3-c40295,Water-Tours,Istanbul
236,https://www.viator.com/Istanbul-tours/Dinner-Cruises/d585-g3-c5640,Dinner Cruises,/Istanbul-tours/Dinner-Cruises/d585-g3-c5640,Dinner-Cruises,Istanbul
237,https://www.viator.com/Istanbul-tours/Sunset-Cruises/d585-g3-c5638,Sunset Cruises,/Istanbul-tours/Sunset-Cruises/d585-g3-c5638,Sunset-Cruises,Istanbul
238,https://www.viator.com/Istanbul-tours/Museum-Tickets-and-Passes/d585-g8-c31,Museum Tickets & Passes,/Istanbul-tours/Museum-Tickets-and-Passes/d585-g8-c31,Museum-Tickets-and-Passes,Istanbul
239,https://www.viator.com/Istanbul-tours/Art-and-Culture/d585-tag21910,Art & Culture,/Istanbul-tours/Art-and-Culture/d585-tag21910,Art-and-Culture,Istanbul
240,https://www.viator.com/Istanbul-tours/Classes-and-Workshops/d585-g26051,Classes & Workshops,/Istanbul-tours/Classes-and-Workshops/d585-g26051,Classes-and-Workshops,Istanbul
241,https://www.viator.com/Istanbul-tours/Food-Wine-and-Nightlife/d585-g6,Food & Drink,/Istanbul-tours/Food-Wine-and-Nightlife/d585-g6,Food-Wine-and-Nightlife,Istanbul
242,https://www.viator.com/Istanbul-tours/LTSO-Viator-Market-Driven-Merchandising/d585-tag22083,Likely To Sell Out,/Istanbul-tours/LTSO-Viator-Market-Driven-Merchandising/d585-tag22083,LTSO-Viator-Market-Driven-Merchandising,Istanbul
243,https://www.viator.com/Istanbul-tours/Outdoor-Activities/d585-g9,Outdoor Activities,/Istanbul-tours/Outdoor-Activities/d585-g9,Outdoor-Activities,Istanbul
244,https://www.viator.com/Istanbul-tours/Seasonal-and-Special-Occasions/d585-tag21916,Seasonal & Special Occasions,/Istanbul-tours/Seasonal-and-Special-Occasions/d585-tag21916,Seasonal-and-Special-Occasions,Istanbul
245,https://www.viator.com/Istanbul-tours/Sightseeing-Tickets-and-Passes/d585-g8,Tickets & Passes,/Istanbul-tours/Sightseeing-Tickets-and-Passes/d585-g8,Sightseeing-Tickets-and-Passes,Istanbul
246,https://www.viator.com/Istanbul-tours/Tours-and-Sightseeing/d585-g12,"Tours, Sightseeing & Cruises",/Istanbul-tours/Tours-and-Sightseeing/d585-g12,Tours-and-Sightseeing,Istanbul
247,https://www.viator.com/Istanbul-tours/Transfers-and-Ground-Transport/d585-g15,Travel & Transportation Services,/Istanbul-tours/Transfers-and-Ground-Transport/d585-g15,Transfers-and-Ground-Transport,Istanbul
248,https://www.viator.com/Istanbul-tours/Unique-Experiences/d585-g50127-c50128,Unique Experiences,/Istanbul-tours/Unique-Experiences/d585-g50127-c50128,Unique-Experiences,Istanbul
249,https://www.viator.com/Krakow/d529-ttd,Global,/Global/Global,Global,Krakow
250,https://www.viator.com/Krakow-tours/Airport-and-Ground-Transfers/d529-g15-c52,Airport & Hotel Transfers,/Krakow-tours/Airport-and-Ground-Transfers/d529-g15-c52,Airport-and-Ground-Transfers,Krakow
251,https://www.viator.com/Krakow-tours/Art-and-Culture/d529-tag21910,Art & Culture,/Krakow-tours/Art-and-Culture/d529-tag21910,Art-and-Culture,Krakow
252,https://www.viator.com/Krakow-tours/Audio-Guided-Tours/d529-g12-c26963,Audio Guides,/Krakow-tours/Audio-Guided-Tours/d529-g12-c26963,Audio-Guided-Tours,Krakow
253,https://www.viator.com/Krakow-tours/Bus-and-Minivan-Tours/d529-g12-c98,Bus Tours,/Krakow-tours/Bus-and-Minivan-Tours/d529-g12-c98,Bus-and-Minivan-Tours,Krakow
254,https://www.viator.com/Krakow-tours/Car-Tours/d529-tag21733,Car Tours,/Krakow-tours/Car-Tours/d529-tag21733,Car-Tours,Krakow
255,https://www.viator.com/Krakow-tours/City-Tours/d529-g12-c5330,City Tours,/Krakow-tours/City-Tours/d529-g12-c5330,City-Tours,Krakow
256,https://www.viator.com/Krakow-tours/Classes-and-Workshops/d529-g26051,Classes & Workshops,/Krakow-tours/Classes-and-Workshops/d529-g26051,Classes-and-Workshops,Krakow
257,https://www.viator.com/Krakow-tours/Cruises-Sailing-and-Water-Tours/d529-g3,Cruises & Sailing,/Krakow-tours/Cruises-Sailing-and-Water-Tours/d529-g3,Cruises-Sailing-and-Water-Tours,Krakow
258,https://www.viator.com/Krakow-tours/Cultural-Tours/d529-g4-c11,Cultural Tours,/Krakow-tours/Cultural-Tours/d529-g4-c11,Cultural-Tours,Krakow
259,https://www.viator.com/Krakow-tours/Day-Trips/d529-g5-c15,Day Trips,/Krakow-tours/Day-Trips/d529-g5-c15,Day-Trips,Krakow
260,https://www.viator.com/Krakow-tours/Food-Tours-Attraction-Product-Category/d529-tag12053,Culinary Tour,/Krakow-tours/Food-Tours-Attraction-Product-Category/d529-tag12053,Food-Tours-Attraction-Product-Category,Krakow
261,https://www.viator.com/Krakow-tours/Food-Wine-and-Nightlife/d529-g6,Food & Drink,/Krakow-tours/Food-Wine-and-Nightlife/d529-g6,Food-Wine-and-Nightlife,Krakow
262,https://www.viator.com/Krakow-tours/Full-day-Tours/d529-g12-c94,Full-day Tours,/Krakow-tours/Full-day-Tours/d529-g12-c94,Full-day-Tours,Krakow
