a,a
Global,Global
entryTicket,Entry tickets
guidedTour,Guided tours
dayTrip,Day trips
privateTour,Private tours
other,Other experiences
transfer,Transfers
workshopOrClass,Workshops & classes
adventure,Adventures
waterActivity,Water activities
multiDayTrip,Multi-day trips
hopOnHopOff,Hop-on hop-off tours
cityCard,City cards
local_culture,Local culture
art,Art
architecture,Architecture
city_sightseeing,City sightseeing
food,Food
outdoor,Outdoor
tasting,Tasting
wine_tasting,Wine tasting
drinks,Drinks
religion,Religion
activities_for_couples,Activities for couples
children_s_activities,Children's activities
plaza_square,Squares & plazas
religious,Religious sites
gallery,Galleries
museum,Museums
bridge,Bridges
monument,Monuments
historic_and_archeological,Historic ruins & archaeological sites
castle_or_palace,Castles & palaces
tower,Towers & viewing platforms
cemetery,Cemeteries & mausoleums
van,Van
bus_coach,Bus / coach
car,Car
train,Train
bicycle,Bike
ferry,Ferry
electric_bicycle,Electric bike
golf_cart,Golf cart
scooter,Scooter
motorcycle,Motorcycle
5000,Florence Duomo Complex
3953,Uffizi Gallery
3955,Ponte Vecchio
4746,Accademia Gallery
3962,Piazza della Signoria
3956,Palazzo Vecchio
3957,Pitti Palace
2975,Tower of Pisa
4836,Piazza della Repubblica
4786,Square of Miracles
697,Positano
699,Amalfi
162,Naples
391,Sorrento
156880,Pompei
709,Ravello
2168,Praiano
33,Rome
163301,Nerano
144977,Conca dei Marini
bundle,Bundles
2697,Anne Frank House
3405,Dam Square
3003,The Amstel
2696,Rijksmuseum
7574,Magere Brug
7575,Westerkerk
5095,Prinsengracht
3021,Royal Palace
106127,Schiphol Airport
4319,Oude Kerk
3763,Acropolis of Athens
3766,Acropolis Museum
5087,Panathenaic Stadium
3772,Temple of Olympian Zeus
15524,Meteora
108582,Athens International Airport
3767,Syntagma Square
121975,Corinth Canal
15535,Delphi Archaeological Site
16124,National Garden
2699,Sagrada Familia
24689,Barcelona Port
3060,Port Vell
3027,Casa Batlló
22751,Olympic Port
3037,Passeig de Gracia
3032,Park Güell
22708,Arc de Triomf
3038,Casa Mila
3047,Parc de la Ciutadella
3089,Brandenburg Gate
2702,Berlin Wall
2701,Reichstag
3413,Checkpoint Charlie
3420,Potsdamer Platz
3097,Berlin Cathedral
3088,Gendarmenmarkt
3411,Alexanderplatz
3087,Holocaust Memorial
4285,TV Tower
148180,Cancun International Airport
1078,Isla Mujeres
785,Chichén Itzá
163544,Tulum National Park
4506,Coba
127098,Nichupté Lagoon
4510,Cenote Ik Kil
158874,Cancún Underwater Museum
87612,Aquaworld Cancun
165548,Xel-Ha Archaeological Site
3342,The Palm Jumeirah
3309,Burj Al Arab
128278,Atlantis
2703,Burj Khalifa
2704,Dubai Creek
14637,Dubai Spice Souk
115372,Lahbab Desert
4841,Dubai Gold Souk
3312,Dubai Desert Conservation Reserve
165284,Ain Dubai
4550,Cliffs of Moher
3544,Dublin Castle
15552,Trinity College Dublin
3543,Guinness Storehouse
5082,St Patrick's Cathedral
3550,Christ Church Cathedral
4648,Blarney Castle
109777,Giant's Causeway
4552,The Burren
91752,Dublin Airport
4458,Lokrum
4459,Walls of Dubrovnik
4463,Koločep
9026,Lopud Island
4466,Lovrijenac
164802,Rector's Palace
164319,Pile Gate
157845,Dubrovnik Airport
4461,Sipan
9063,Srđ
1886,Loch Ness
2594,Royal Mile
36443,Eilean Donan Castle
2592,Edinburgh Castle
93044,The Great Glen
2599,Stirling Castle
36324,Ben Nevis
2593,Loch Lomond
92591,Cairngorms
4976,Doune Castle
2705,Hagia Sophia
3533,Sultan Ahmed Mosque
3534,Topkapi Palace
3535,Grand Bazaar
25615,Bosphorus Strait
25428,Sultanahmet Square
3948,Dolmabahce Palace
27813,Bosphorus Bridge
163973,Istanbul Airport
27845,Golden Horn
1069,Memorial and Museum Auschwitz-Birkenau
4139,Wieliczka Salt Mine
4140,Wawel Hill
5084,Oskar Schindler's Factory
4144,Main Market Square
4142,Wawel Royal Castle
4147,Wawel Cathedral
5081,St. Mary's Basilica
5127,Old Synagogue
89852,Kraków Airport
4744,Antelope Canyon
3905,Hoover Dam
95984,Grand Canyon National Park
1511,Lake Powell
34292,Bryce Canyon National Park
32179,Zion National Park
92786,Horseshoe Bend
18107,"Colorado River, Arizona"
3904,Death Valley National Park
116387,Grand Canyon West Rim
3590,Belem Tower
4825,Tagus River
4792,Commerce Square
4801,Monument to the Discoveries
3594,Jerónimos Monastery
3593,25 de Abril Bridge
4788,Pena Palace
4794,Lisbon Cathedral
2284,Cabo da Roca
4800,Rossio Square
2706,Buckingham Palace
2707,River Thames
3408,Trafalgar Square
